ID Carta,Nome Carta,Categoria,Elemento/Tipo,Valore Potenza,Requisiti/Effetto speciale,Flavour Text
N01,Nodo del Fuoco Ancestrale,Nodo,Fuoco/Terra,,Richiede Fuoco 4 e Terra 2,"La montagna ricorda ogni scintilla."
N02,Nodo delle Maree Sospese,Nodo,Acqua/Vento,,Richiede Acqua 4 e Vento 2,"Un oceano immobile attende il primo respiro."
N03,Nodo del Bosco Magnetico,Nodo,Terra/Vento,,Richiede Terra 3 e Vento 3,"Le radici puntano verso il cielo."
N04,Nodo della Forgia Nebulare,Nodo,Fuoco/Acqua,,Richiede Fuoco 3 e Acqua 3,"Vapore e brace battono lo stesso ritmo."
N05,Nodo del Prisma Eterico,Nodo,Universale,,Richiede almeno 2 potenza in tre elementi diversi,"Ogni colore e un frammento di memoria."
C01,Scintilla Risonante,Catalizzatore,Fuoco,1,Dopo averla incanalata puoi guardare la prima carta del mazzo.,"Un piccolo sole tascabile."
C02,Braci Guidate,Catalizzatore,Fuoco,1,Se giochi questa carta su un Nodo con almeno 1 Terra pesca 1 carta poi scarta 1 carta.,"Le braci seguono sentieri invisibili."
C03,Fiamma di Rame,Catalizzatore,Fuoco,1,Nessun effetto.,"Calore stabile, volonta precisa."
C04,Lama Termica,Catalizzatore,Fuoco,2,Puoi spostare 1 tua potenza Fuoco da un altro Nodo a questo.,"Taglia il freddo prima della materia."
C05,Sigillo Vulcanico,Catalizzatore,Fuoco,2,Se questo Nodo viene stabilizzato in questo turno questa carta vale +1 per la maggioranza.,"Il sigillo si chiude solo nel momento esatto."
C06,Corona Incandescente,Catalizzatore,Fuoco,2,Nessun effetto.,"La luce sceglie il suo portatore."
C07,Cuore di Magma,Catalizzatore,Fuoco,3,Dopo averla incanalata scarta 1 carta dalla mano.,"Potere puro, difficile da trattenere."
C08,Goccia Memoria,Catalizzatore,Acqua,1,Dopo averla incanalata puoi riprendere in mano 1 tua carta valore 1 da un Nodo diverso.,"L'acqua non dimentica la forma."
C09,Velo di Rugiada,Catalizzatore,Acqua,1,Nessun effetto.,"Una difesa sottile come il mattino."
C10,Anello di Marea,Catalizzatore,Acqua,1,Se il Nodo contiene Vento questa carta vale +1 fino alla fine del turno.,"La corrente ascolta il cielo."
C11,Canale Cristallino,Catalizzatore,Acqua,2,Pesca 1 carta se hai meno carte in mano di ogni avversario.,"Trasparente, ma mai vuoto."
C12,Specchio Fluente,Catalizzatore,Acqua,2,Puoi copiare l'elemento di un Catalizzatore valore 1 sullo stesso Nodo fino alla stabilizzazione.,"Riflette cio che serve, non cio che e vero."
C13,Pozza Lunare,Catalizzatore,Acqua,2,Nessun effetto.,"La luna si versa senza cadere."
C14,Leviatano in Ampolla,Catalizzatore,Acqua,3,Dopo averla incanalata non puoi lanciare Distorsioni in questo turno.,"Un mare intero, sigillato a fatica."
C15,Soffio Alto,Catalizzatore,Vento,1,Dopo averla incanalata puoi cambiare bersaglio a una tua prossima azione di incanalamento in questo turno.,"Arriva prima della decisione."
C16,Piuma Eolica,Catalizzatore,Vento,1,Nessun effetto.,"Leggera non significa fragile."
C17,Runa del Maestrale,Catalizzatore,Vento,1,Se giochi una seconda carta su questo Nodo nello stesso turno essa vale +1 per la maggioranza.,"Il vento ama le sequenze."
C18,Spirale di Quarzo,Catalizzatore,Vento,2,Puoi scambiare questa carta con un tuo Catalizzatore valore 1 su un altro Nodo.,"Una curva che corregge il destino."
C19,Ali di Ottone,Catalizzatore,Vento,2,Nessun effetto.,"Ingranaggi abbastanza leggeri da sognare."
C20,Oracolo del Cielo,Catalizzatore,Vento,2,Guarda le prime 2 carte del mazzo e rimettile in qualsiasi ordine.,"Prevedere e solo ascoltare meglio."
C21,Ciclone Imbrigliato,Catalizzatore,Vento,3,Dopo averla incanalata un avversario pesca 1 carta.,"Libero anche quando viene catturato."
C22,Seme Litico,Catalizzatore,Terra,1,Nessun effetto.,"Da una pietra puo nascere una mappa."
C23,Radice di Ferro,Catalizzatore,Terra,1,Questa carta non puo essere spostata da Distorsioni avversarie.,"Si aggrappa al mondo con pazienza."
C24,Argilla Viva,Catalizzatore,Terra,1,Se il Nodo contiene Acqua questa carta vale +1 fino alla fine del turno.,"La forma arriva dopo il contatto."
C25,Colonna Basaltica,Catalizzatore,Terra,2,Nessun effetto.,"Solida come un giuramento antico."
C26,Geode Senziente,Catalizzatore,Terra,2,Quando viene incanalata puoi proteggere 1 altro tuo Catalizzatore su questo Nodo fino al tuo prossimo turno.,"Le pietre parlano piano."
C27,Martello Tellurico,Catalizzatore,Terra,2,Puoi ridurre di 1 il valore di un Catalizzatore avversario su questo Nodo fino alla stabilizzazione.,"Non rompe: riequilibra."
C28,Titano Dormiente,Catalizzatore,Terra,3,Dopo averla incanalata salta la tua prossima azione di pesca in questo turno.,"Quando si muove, la valle cambia nome."
D01,Sovraccarico Eterico,Distorsione,Interferenza,,Scegli un Nodo: il prossimo Catalizzatore incanalato su quel Nodo in questo turno vale +1.,"Troppa energia e quasi una risposta."
D02,Frattura di Runa,Distorsione,Interferenza,,Riduci di 1 il valore di un Catalizzatore su un Nodo fino alla stabilizzazione.,"Una linea incrinata puo deviare un destino."
D03,Rimbalzo Arcano,Distorsione,Movimento,,Sposta un tuo Catalizzatore valore 1 o 2 da un Nodo a un altro Nodo non stabilizzato.,"Nessun incanto ama restare fermo."
D04,Velo di Stasi,Distorsione,Difesa,,Scegli un tuo Catalizzatore: non puo essere spostato o ridotto fino al tuo prossimo turno.,"Il tempo trattiene il respiro."
D05,Scambio di Polarita,Distorsione,Movimento,,Scambia due Catalizzatori dello stesso valore su due Nodi diversi.,"La posizione e una proprieta negoziabile."
D06,Eco Preveggente,Distorsione,Controllo,,Guarda le prime 3 carte del mazzo; pescane 1 e rimetti le altre in fondo in qualsiasi ordine.,"Il futuro risponde a bassa voce."
D07,Scarica di Dispersione,Distorsione,Interferenza,,Scegli un Nodo: ogni giocatore con almeno 2 Catalizzatori su quel Nodo scarta 1 carta a sua scelta da quel Nodo.,"Quando l'eco e troppo forte, il Nodo tossisce luce."
D08,Ricalibrazione,Distorsione,Controllo,,Scegli un tuo Catalizzatore: cambia il suo elemento fino alla stabilizzazione mantenendo lo stesso valore.,"Il colore cambia, l'intenzione resta."
D09,Ancoraggio Comune,Distorsione,Difesa,,Fino al tuo prossimo turno nessun giocatore puo stabilizzare il Nodo scelto.,"A volte salvare un Nodo significa rimandarlo."
D10,Impulso Gemello,Distorsione,Accelerazione,,Dopo questa carta puoi incanalare immediatamente un Catalizzatore valore 1 come azione gratuita.,"Due battiti nello stesso istante."
D11,Archivio Sommerso,Distorsione,Recupero,,"Riprendi in mano 1 Catalizzatore dalla pila degli scarti, poi scarta 1 carta.","Nulla scompare davvero sotto l'acqua."
D12,Disallineamento Gentile,Distorsione,Controllo,,Scegli un avversario: nel suo prossimo turno la prima azione non puo essere pescare.,"Un invito cortese a improvvisare."
